source,destination,distance_in_km,time_of_day,traffic_level,weather,route_risk,delay_probability,risk_level,time_delay
Gurugram,Faridabad,32,Afternoon,Medium,Clear,9.112012459,0.98888259,Medium,9.929611292
Gurugram,Meerut,32,Afternoon,High,Storm,2.706109866,0.999840791,Low,9.427747071
Delhi,Ghaziabad,20,Evening,Medium,Clear,9.993947135,0.086015137,Medium,9.016590368
Faridabad,Gurugram,32,Night,Low,Rain,9.997093843,0.921400863,Medium,1.205276508
Noida,Meerut,18,Evening,High,Rain,9.648996586,0.178364247,Medium,5.063827787
Noida,Meerut,18,Afternoon,Low,Rain,4.640361103,0.243969794,Low,0.734415911
Faridabad,Meerut,28,Evening,Medium,Storm,0.366193599,0.942310806,Medium,8.46436569
Gurugram,Meerut,32,Evening,High,Clear,7.118098157,0.884616302,Medium,1.807175731
Sonipat,Ghaziabad,22,Afternoon,Medium,Storm,1.012249955,0.912970174,Medium,4.73036244
Delhi,Gurugram,20,Evening,High,Clear,3.515704571,0.99384796,Low,9.606702789
Faridabad,Sonipat,28,Evening,Low,Rain,4.747639403,0.72461503,Medium,8.911311391
Faridabad,Delhi,20,Evening,Low,Rain,6.328277475,0.047611583,Medium,8.884997769
Gurugram,Delhi,20,Evening,Low,Clear,0.88444,0.989755066,Low,9.856873513
Sonipat,Ghaziabad,22,Night,Medium,Storm,5.424795614,0.946238828,Medium,7.630721923
Sonipat,Delhi,20,Morning,High,Clear,3.875358976,0.033913128,Low,0.691636811
Gurugram,Sonipat,32,Morning,High,Rain,9.90944371,0.737415316,Medium,9.839350054
Sonipat,Ghaziabad,22,Evening,Medium,Storm,9.984684262,0.989300162,Medium,0.945540962
Faridabad,Meerut,28,Evening,Medium,Rain,9.515453022,0.352993248,Medium,0.534877659
Gurugram,Noida,18,Afternoon,Medium,Clear,9.752648211,0.885730257,Medium,1.330657814
Meerut,Faridabad,28,Morning,Medium,Storm,9.893623536,0.823185991,Medium,3.68701885
Delhi,Meerut,20,Afternoon,Medium,Clear,1.443585651,0.997497652,Medium,9.476338984
Faridabad,Sonipat,28,Night,Low,Storm,0.57128191,0.994620501,Low,8.703456774
Mathura,Meerut,70,Evening,Low,Rain,8.990154183,0.119565831,Medium,8.773074423
Noida,Meerut,18,Morning,Medium,Clear,5.660301578,0.582516067,Low,1.596898399
Meerut,Noida,18,Night,High,Rain,8.887284728,0.040822903,Medium,0.068518093
Faridabad,Mathura,28,Morning,High,Storm,6.609701629,0.954617883,Medium,6.22692955
Mathura,Ghaziabad,22,Afternoon,Low,Storm,4.916762685,0.683715443,Low,9.932733205
Ghaziabad,Delhi,20,Morning,Medium,Clear,9.001074994,0.982164113,Medium,9.894926426
Faridabad,Ghaziabad,22,Afternoon,High,Storm,9.841706685,0.917020588,High,9.999968389
Delhi,Faridabad,20,Evening,Medium,Storm,5.386122716,0.504453666,Low,1.002572211
Mathura,Faridabad,28,Morning,High,Clear,9.697625118,0.534439107,Low,9.96878589
Mathura,Meerut,70,Morning,Medium,Clear,7.385161957,0.42305058,Medium,8.803017468
Ghaziabad,Meerut,22,Afternoon,Medium,Rain,9.994562658,0.831648954,Medium,0.192432563
Noida,Sonipat,18,Evening,Low,Rain,4.359062235,0.954859903,Medium,6.819059236
Faridabad,Delhi,20,Night,Low,Rain,9.658695504,0.99496956,Medium,9.848763659
Faridabad,Sonipat,28,Afternoon,High,Storm,5.54348705,0.667609481,Low,9.564842626
Noida,Mathura,18,Night,Low,Clear,9.855152502,0.712628508,Medium,1.579380452
Ghaziabad,Gurugram,32,Afternoon,Low,Storm,0.860793665,0.989479982,Low,4.201914301
Ghaziabad,Faridabad,22,Evening,High,Rain,3.612424219,0.999959022,Medium,0.309900623
Noida,Mathura,18,Night,High,Clear,2.427861297,0.947476254,Low,2.590860561
Sonipat,Mathura,160,Evening,High,Rain,9.963979974,0.009356449,Medium,7.881321471
Mathura,Delhi,20,Night,High,Storm,9.010142119,0.906029937,High,1.683858268
Noida,Delhi,20,Morning,High,Clear,0.542919169,0.034509427,Low,8.921108304
Meerut,Noida,18,Evening,Low,Clear,6.319646572,0.622981979,Medium,8.557069021
Meerut,Gurugram,32,Evening,Low,Clear,9.912695065,0.860618025,Medium,6.821440409
Meerut,Gurugram,32,Evening,Low,Storm,0.672245322,0.587928776,Low,1.234376188
Meerut,Gurugram,32,Night,High,Rain,9.999880983,0.936598261,Medium,5.153785543
Gurugram,Mathura,32,Morning,High,Clear,2.205902452,0.634316249,Low,4.942005871
Delhi,Gurugram,20,Afternoon,High,Storm,3.386168767,0.990547531,Low,1.546788458
Delhi,Noida,20,Evening,Medium,Rain,8.384862533,0.951450855,Medium,9.957519504
Faridabad,Mathura,28,Night,Low,Rain,9.999564551,0.987839897,Medium,0.031033632
Faridabad,Ghaziabad,22,Morning,Medium,Rain,1.196143563,0.013285978,Medium,0.87443139
Meerut,Delhi,20,Night,High,Rain,9.939054958,0.114643878,Medium,9.952205246
Faridabad,Meerut,28,Night,High,Clear,9.676856581,0.986441883,Medium,1.538555888
Ghaziabad,Faridabad,22,Afternoon,High,Storm,0.374018873,0.973051396,Low,1.933279434
Gurugram,Mathura,32,Night,Medium,Storm,8.234103338,0.704250301,Medium,1.521419277
Sonipat,Delhi,20,Night,Low,Rain,8.547810386,0.597483367,Medium,5.916260136
Ghaziabad,Meerut,22,Evening,High,Storm,9.964788938,0.163029391,Low,5.459098542
Delhi,Mathura,20,Night,Medium,Clear,8.673719348,0.625480074,Medium,7.492007308
Sonipat,Mathura,160,Morning,Low,Rain,9.994682539,0.27394959,Medium,8.160311734
Meerut,Mathura,70,Afternoon,Medium,Rain,7.218175304,0.985338667,Medium,0.084904522
Ghaziabad,Sonipat,22,Afternoon,Low,Storm,9.561188832,0.962930109,Medium,7.938034041
Delhi,Gurugram,20,Morning,High,Storm,9.98879096,0.595134606,Low,2.148165474
Noida,Delhi,20,Night,Low,Clear,9.847499819,0.589767046,Low,6.955438918
Sonipat,Noida,18,Evening,Low,Rain,9.836662912,0.960691627,Medium,8.591327074
Noida,Delhi,20,Afternoon,Medium,Clear,7.981857533,0.999817325,Medium,9.204365148
Gurugram,Faridabad,32,Morning,Medium,Storm,8.986928701,0.356209543,Medium,1.161724624
Gurugram,Sonipat,32,Evening,Low,Clear,1.726893472,0.776941455,Low,5.786853893
Sonipat,Meerut,70,Morning,Low,Storm,9.82576086,0.911889358,High,9.982537911
Mathura,Meerut,70,Morning,High,Rain,9.179772681,0.954649349,High,0.731842244
Mathura,Gurugram,32,Night,Low,Storm,6.729193866,0.459287362,Low,1.646772959
Faridabad,Gurugram,32,Night,Low,Storm,9.999989565,0.721153907,Medium,5.520923898
Meerut,Faridabad,28,Afternoon,Medium,Storm,7.331882139,0.758788886,Medium,9.123127654
Gurugram,Noida,18,Morning,Medium,Rain,9.534081132,0.587289377,Medium,0.598585378
Delhi,Faridabad,20,Morning,Low,Clear,0.212181648,0.934559653,Low,5.293905375
Gurugram,Ghaziabad,32,Morning,Medium,Clear,9.904323247,0.868537436,Medium,1.052270528
Delhi,Gurugram,20,Morning,Medium,Storm,2.839800849,0.68802482,Medium,1.070043241
Meerut,Gurugram,32,Afternoon,Low,Rain,8.047315552,0.039664725,Medium,3.796913921
Gurugram,Meerut,32,Afternoon,Medium,Storm,9.843875491,0.874826702,Medium,6.480338015
Faridabad,Mathura,28,Night,Low,Clear,9.999985375,0.996674976,Medium,6.064102031
Sonipat,Noida,18,Morning,High,Clear,3.413752469,0.034459742,Low,6.635281357
Gurugram,Sonipat,32,Afternoon,Medium,Storm,9.985887984,0.241139757,Medium,1.687275628
Meerut,Delhi,20,Afternoon,High,Clear,9.910099388,0.999585544,Medium,4.097423803
Meerut,Noida,18,Night,Medium,Storm,6.807844265,0.187830531,Medium,3.1659157
Meerut,Ghaziabad,22,Afternoon,Medium,Clear,9.742591356,0.981764465,Medium,9.452014023
Mathura,Gurugram,32,Morning,Medium,Storm,5.444296132,0.999873204,Medium,6.496569781
Delhi,Gurugram,20,Night,Low,Clear,0.773101959,0.135795252,Low,9.99161888
Delhi,Ghaziabad,20,Evening,High,Storm,1.073678426,0.295806351,Low,2.185536796
Delhi,Sonipat,20,Morning,Low,Storm,6.450934611,0.995209794,Medium,9.975560336
Faridabad,Noida,18,Afternoon,Low,Clear,8.300715176,0.938153016,Medium,8.57257668
Noida,Mathura,18,Morning,High,Clear,5.391017495,0.493697317,Low,6.485029554
Sonipat,Delhi,20,Evening,High,Storm,9.385812582,0.998650568,High,7.354839855
Sonipat,Gurugram,32,Afternoon,Low,Clear,9.987851883,0.8777977,Medium,4.092116985
Noida,Ghaziabad,18,Afternoon,Low,Clear,9.920411607,0.756422814,Medium,2.539417396
Mathura,Sonipat,160,Morning,Low,Clear,9.123623699,0.210323439,Medium,2.044523028
Ghaziabad,Mathura,22,Evening,High,Storm,9.887753839,0.442127214,Low,9.999484071
Sonipat,Ghaziabad,22,Morning,Medium,Clear,9.053389017,0.662444104,Medium,5.596773532
Faridabad,Gurugram,32,Morning,High,Storm,9.855409544,0.547120529,Low,1.483943333
Faridabad,Sonipat,28,Afternoon,High,Storm,7.075750201,0.983751565,Medium,2.696024168
Mathura,Ghaziabad,22,Afternoon,Medium,Rain,5.972527444,0.999925515,Medium,8.614411204
Noida,Delhi,20,Evening,High,Storm,9.815660688,0.999853461,High,2.018151955
Gurugram,Sonipat,32,Afternoon,Medium,Clear,9.870644457,0.982980192,Medium,2.333078637
Ghaziabad,Delhi,20,Morning,Low,Rain,9.894595674,0.922926691,Medium,1.563714692
Meerut,Sonipat,70,Evening,Low,Clear,8.315696841,0.976479448,Medium,9.188454654
Sonipat,Mathura,160,Evening,Medium,Rain,9.809965967,0.895776149,Medium,9.942873971
Mathura,Faridabad,28,Morning,Low,Storm,9.995544644,0.998072003,Medium,6.968534285
Faridabad,Ghaziabad,22,Night,Low,Storm,9.622471755,0.290464142,Low,9.956936106
Ghaziabad,Sonipat,22,Morning,High,Clear,4.3673083,0.011037972,Low,9.613312365
Ghaziabad,Noida,18,Morning,Low,Rain,9.813373951,0.28738558,Medium,9.893658966
Gurugram,Mathura,32,Morning,Low,Rain,7.204535095,0.594051111,Medium,9.482104049
Ghaziabad,Noida,18,Morning,High,Storm,8.628212354,0.750052586,Medium,4.538602018
Delhi,Noida,20,Afternoon,High,Clear,9.672482994,0.951335417,Medium,1.530867661
Faridabad,Ghaziabad,22,Evening,High,Clear,2.044574875,0.851229208,Low,1.89216517
Noida,Delhi,20,Evening,High,Storm,9.330883162,0.999685973,High,5.755089693
Ghaziabad,Delhi,20,Afternoon,High,Rain,2.481380879,0.92496953,Medium,1.465986752
Meerut,Sonipat,70,Night,High,Clear,8.44902753,0.285585317,Medium,1.228650824
Delhi,Ghaziabad,20,Evening,High,Clear,8.864429394,0.969143464,Medium,9.999985484
Faridabad,Meerut,28,Evening,Low,Rain,4.943501085,0.846823492,Medium,7.849719305
Delhi,Faridabad,20,Morning,Low,Clear,9.488421545,0.851651133,Medium,5.291281359
Delhi,Ghaziabad,20,Night,Low,Rain,8.816452118,0.305943398,Medium,7.83041376
Sonipat,Meerut,70,Night,High,Storm,0.549557382,0.741663963,Medium,1.991393312
Sonipat,Meerut,70,Afternoon,High,Clear,9.990366422,0.952512675,High,1.772484869
Noida,Mathura,18,Evening,Low,Rain,4.890237993,0.566084853,Low,9.368621278
Noida,Delhi,20,Morning,Medium,Clear,8.002439103,0.997408306,Medium,1.28629672
Sonipat,Gurugram,32,Morning,Low,Rain,7.7066153,0.867424511,Medium,9.337730274
Noida,Delhi,20,Morning,High,Storm,4.602647644,0.999907429,Low,2.338139694
Gurugram,Ghaziabad,32,Evening,High,Storm,2.645298163,0.109238501,Low,3.766214726
Ghaziabad,Noida,18,Night,Low,Clear,8.612389869,0.958696612,Medium,9.771860297
Gurugram,Ghaziabad,32,Afternoon,Low,Storm,9.998985594,0.743470177,Medium,8.536845979
Noida,Delhi,20,Night,High,Clear,0.179775207,0.999989733,Low,9.961471517
Mathura,Ghaziabad,22,Afternoon,Medium,Storm,9.993255667,0.991435807,Medium,6.341159806
Faridabad,Gurugram,32,Afternoon,Low,Rain,8.892807765,0.507572308,Medium,3.830202942
Delhi,Meerut,20,Night,High,Clear,0.944302351,0.762489312,Low,0.546570048
Noida,Mathura,18,Evening,High,Clear,3.32239908,0.182188402,Low,9.920566496
Delhi,Noida,20,Afternoon,Low,Clear,5.457939547,0.823878922,Low,9.733178538
Faridabad,Sonipat,28,Afternoon,Medium,Clear,0.523320686,0.119535206,Low,1.362393434
Mathura,Ghaziabad,22,Evening,Low,Rain,0.065490918,0.957414599,Medium,7.926408891
Ghaziabad,Delhi,20,Evening,Medium,Storm,0.028280073,0.994837846,Medium,9.32642514
Ghaziabad,Sonipat,22,Afternoon,Low,Storm,7.285998881,0.98875255,Medium,6.638998895
Meerut,Noida,18,Night,Medium,Rain,2.752590716,0.781836605,Medium,9.988714224
Ghaziabad,Sonipat,22,Afternoon,High,Clear,9.808444342,0.987843933,Medium,9.54806805
Faridabad,Ghaziabad,22,Night,High,Clear,7.464607765,0.062257132,Low,6.628296038
Noida,Ghaziabad,18,Afternoon,Medium,Storm,9.559764232,0.999999112,Medium,8.587333776
Delhi,Mathura,20,Morning,Low,Clear,1.603315093,0.935070397,Low,9.980651924
Sonipat,Delhi,20,Night,High,Storm,9.851011845,0.822831161,Medium,5.347782355
Sonipat,Mathura,160,Evening,High,Rain,5.698614315,0.142052915,Medium,1.776937926
Ghaziabad,Sonipat,22,Evening,Low,Storm,9.998459838,0.439108674,Low,9.997002743
Ghaziabad,Faridabad,22,Night,High,Storm,1.886584726,0.983522883,Low,6.853307268
Noida,Faridabad,18,Evening,High,Clear,8.266274357,0.283707762,Low,9.330728261
Delhi,Mathura,20,Evening,Low,Rain,0.113931177,0.642864635,Medium,9.741925552
Delhi,Gurugram,20,Afternoon,Medium,Storm,6.514809921,0.995094666,Medium,9.999326253
Mathura,Faridabad,28,Evening,High,Storm,8.063418596,0.967099165,Medium,0.980990452
Meerut,Delhi,20,Afternoon,High,Clear,7.07142169,0.97475074,Medium,8.052939668
Mathura,Meerut,70,Night,Medium,Clear,9.997773852,0.845273495,Medium,2.031021871
Noida,Meerut,18,Morning,High,Rain,6.557089272,0.679159122,Medium,0.309447416
Noida,Faridabad,18,Morning,Medium,Clear,0.529171858,0.460753328,Low,5.00650204
Noida,Ghaziabad,18,Night,High,Storm,8.911923669,4.94E-05,Low,9.993175223
Sonipat,Ghaziabad,22,Morning,High,Storm,9.292029752,0.752757306,Medium,0.080755517
Sonipat,Delhi,20,Afternoon,Low,Clear,2.265379118,0.999999975,Low,5.05385175
Sonipat,Ghaziabad,22,Night,High,Storm,3.139893934,0.798641525,Low,5.406079884
Gurugram,Delhi,20,Morning,Low,Clear,0.358403942,0.509996534,Low,4.058284934
Noida,Mathura,18,Evening,Low,Storm,9.981661453,0.971652308,Medium,8.904782613
Noida,Meerut,18,Night,High,Clear,3.529957157,0.051694585,Low,9.59581184
Gurugram,Delhi,20,Night,High,Clear,2.797060648,0.965508422,Low,0.84688654
Gurugram,Mathura,32,Evening,High,Clear,6.427956872,0.015588569,Low,9.444238019
Mathura,Noida,18,Morning,High,Rain,9.995770295,0.979771683,Medium,3.159117669
Ghaziabad,Meerut,22,Afternoon,Medium,Clear,9.37617324,0.992683844,Medium,0.279521656
Sonipat,Meerut,70,Evening,Low,Rain,0.197517269,0.995932776,Medium,9.778670286
Faridabad,Mathura,28,Night,Low,Rain,3.908956427,0.243314749,Low,3.635873053
Gurugram,Meerut,32,Morning,High,Storm,8.242156172,0.62272654,Medium,2.388200674
Meerut,Ghaziabad,22,Night,High,Storm,1.268835064,0.999999903,Low,5.808330741
Meerut,Ghaziabad,22,Morning,Low,Rain,9.790568609,0.767141398,Medium,7.307568159
Ghaziabad,Sonipat,22,Afternoon,Low,Rain,9.7669407,0.793319075,Medium,7.505936441
Delhi,Noida,20,Afternoon,High,Storm,9.754342981,0.937172692,High,3.23816872
Meerut,Delhi,20,Morning,Medium,Clear,1.716635402,0.79019896,Medium,5.802742881
Sonipat,Ghaziabad,22,Night,High,Storm,9.190504288,0.934241229,High,8.675917528
Faridabad,Sonipat,28,Night,Medium,Rain,1.238558307,0.999991493,Medium,9.852707888
Faridabad,Delhi,20,Night,Medium,Rain,9.99175304,0.672633769,Medium,1.274981334
Faridabad,Meerut,28,Morning,High,Storm,9.595970955,0.506523078,Low,9.809186186
Gurugram,Delhi,20,Evening,Low,Rain,9.921628077,0.908699496,Medium,0.180487671
Faridabad,Ghaziabad,22,Morning,Low,Clear,9.832467544,0.541286993,Low,2.815161727
Sonipat,Ghaziabad,22,Afternoon,Low,Rain,9.814143297,0.205296868,Medium,0.373611254
Ghaziabad,Meerut,22,Evening,High,Storm,4.083034181,0.882102771,Low,1.904886289
Mathura,Delhi,20,Night,Low,Clear,9.30535755,0.859282619,Medium,5.693935976
Meerut,Sonipat,70,Night,Low,Storm,9.960501596,0.305599352,Medium,7.288524964
Meerut,Noida,18,Night,High,Storm,9.897455442,0.999963054,High,0.101887592
Noida,Gurugram,18,Evening,Low,Rain,7.730338381,0.999687365,Medium,9.909850122
Mathura,Noida,18,Afternoon,High,Clear,0.725939086,0.945572951,Low,2.944941919
Faridabad,Meerut,28,Night,Low,Storm,2.619404995,0.781695379,Low,1.028790555
Delhi,Mathura,20,Night,Medium,Clear,8.14568062,0.917203414,Medium,4.926171341
Delhi,Ghaziabad,20,Evening,Low,Storm,9.294339139,0.004879876,Low,0.916694545
Gurugram,Mathura,32,Evening,High,Clear,9.998420093,0.998320706,Medium,9.970075271
Sonipat,Mathura,160,Morning,Low,Clear,8.002468869,0.99998205,Medium,4.063864005
Delhi,Ghaziabad,20,Morning,Low,Rain,7.303123779,0.932940149,Medium,8.024245025
Faridabad,Gurugram,32,Evening,High,Storm,9.887478225,0.92011275,High,8.65208751
Noida,Gurugram,18,Afternoon,Medium,Clear,0.017693668,0.265109007,Low,0.277241244
Meerut,Delhi,20,Afternoon,Low,Rain,9.81295352,0.96057976,Medium,0.457414341
Ghaziabad,Noida,18,Night,High,Storm,9.970753102,0.902779695,High,4.345411591
Gurugram,Meerut,32,Night,Low,Rain,9.999971438,0.982326542,Medium,9.904481945
Sonipat,Noida,18,Evening,High,Rain,8.221273649,0.988268262,Medium,4.864999449
Meerut,Sonipat,70,Night,Medium,Storm,5.409520111,0.905706062,Medium,1.997729253
Delhi,Gurugram,20,Night,Medium,Storm,9.555282721,0.849964494,Medium,9.849266096
Meerut,Sonipat,70,Evening,High,Rain,8.253493675,0.282567341,Medium,1.446558536
Noida,Meerut,18,Night,Low,Clear,1.115511735,0.976011453,Low,9.218665383
Noida,Faridabad,18,Morning,High,Storm,7.893029537,0.970266108,Medium,0.632302255
Noida,Delhi,20,Evening,Medium,Rain,2.393756564,0.844971867,Medium,1.520765748
Delhi,Faridabad,20,Afternoon,Low,Rain,6.346352346,0.999952246,Medium,9.993277358
Gurugram,Noida,18,Afternoon,High,Storm,9.99998945,0.968454084,High,0.879049823
Sonipat,Faridabad,28,Evening,Low,Rain,0.48864597,0.357561133,Low,8.371382171
Meerut,Mathura,70,Night,High,Clear,1.7361599,0.999999938,Medium,9.745358392
Noida,Faridabad,18,Morning,High,Storm,7.615250621,0.999070319,Medium,9.99985999
Noida,Meerut,18,Afternoon,High,Storm,9.99999226,0.730730195,Medium,4.910951799
Noida,Ghaziabad,18,Evening,Low,Storm,8.229156615,0.908106512,Medium,9.862150545
Mathura,Meerut,70,Afternoon,Medium,Rain,2.515652573,0.957435053,Medium,9.923121662
Sonipat,Meerut,70,Morning,Low,Storm,0.504659844,0.887192582,Medium,3.097239278
Gurugram,Sonipat,32,Evening,Medium,Storm,4.494817896,0.971156147,Medium,8.119799888
Sonipat,Gurugram,32,Morning,Low,Rain,6.897172613,0.999971877,Medium,0.322992161
Mathura,Noida,18,Night,High,Storm,3.932937731,0.060217171,Low,9.999229495
Ghaziabad,Faridabad,22,Night,Medium,Clear,0.849440096,0.985606262,Medium,9.095065056
Meerut,Faridabad,28,Night,Low,Storm,8.41922549,0.999997838,Medium,9.991941585
Ghaziabad,Mathura,22,Morning,Medium,Rain,9.888617059,0.921506326,Medium,8.984482329
Faridabad,Noida,18,Night,Low,Clear,9.958969733,0.961555673,Medium,9.91785794
Faridabad,Gurugram,32,Afternoon,Low,Clear,6.954852744,0.365549026,Low,9.678653614
Meerut,Mathura,70,Morning,Medium,Rain,5.959302707,0.478482857,Medium,9.921509611
Noida,Sonipat,18,Afternoon,High,Storm,9.961328071,0.019732698,Low,1.587027972
Ghaziabad,Delhi,20,Morning,High,Storm,9.999987923,0.003961654,Low,7.465702505
Faridabad,Ghaziabad,22,Night,High,Rain,8.584117058,0.306721965,Medium,9.994437949
Ghaziabad,Noida,18,Evening,High,Clear,3.722716822,0.91871795,Low,7.515554508
Gurugram,Ghaziabad,32,Afternoon,Low,Clear,4.276788498,0.895730166,Low,1.065117866
Ghaziabad,Faridabad,22,Evening,High,Clear,9.99999411,0.711861872,Medium,0.198002981
Sonipat,Mathura,160,Morning,Medium,Rain,5.659156254,0.031764064,Medium,0.667598552
Meerut,Noida,18,Morning,Medium,Clear,9.67137096,0.522264928,Medium,0.237299453
Meerut,Noida,18,Afternoon,High,Storm,0.580712727,0.9979676,Low,6.780670884
Sonipat,Noida,18,Morning,High,Clear,8.754269135,0.991879269,Medium,1.551659322
Meerut,Gurugram,32,Night,Medium,Rain,5.319698452,0.986372022,Medium,8.404827319
Mathura,Faridabad,28,Night,Low,Storm,8.006999395,0.580528171,Low,5.642259106
Sonipat,Ghaziabad,22,Afternoon,High,Rain,0.406511894,0.945382739,Medium,9.627038459
Mathura,Ghaziabad,22,Evening,Low,Clear,0.516635082,0.995577259,Low,1.99021258
Ghaziabad,Mathura,22,Evening,High,Storm,9.99996686,0.141248067,Low,1.984505398
Delhi,Sonipat,20,Afternoon,Medium,Storm,9.987122731,0.2967688,Medium,1.688718584
Noida,Faridabad,18,Evening,Medium,Clear,1.76926103,0.290298883,Low,2.705399447
Gurugram,Delhi,20,Evening,High,Storm,4.76939119,0.995192846,Low,9.978128825
Gurugram,Meerut,32,Night,High,Rain,6.462534069,0.558616695,Medium,3.629501372
Sonipat,Ghaziabad,22,Afternoon,Low,Rain,6.881496096,0.929422064,Medium,7.46652196
Meerut,Gurugram,32,Evening,Medium,Storm,5.488658661,0.761483686,Medium,7.198612624
Faridabad,Delhi,20,Evening,Low,Rain,9.99942407,0.999973232,Medium,1.033016978
Gurugram,Noida,18,Evening,Low,Clear,8.938342145,0.176015777,Low,0.642199886
Faridabad,Meerut,28,Afternoon,High,Storm,8.924163967,0.986447147,High,2.688242361
Faridabad,Gurugram,32,Night,High,Storm,9.914752453,0.521694976,Low,9.781321772
Noida,Sonipat,18,Morning,High,Rain,9.969093801,0.986056122,Medium,9.970151036
Mathura,Meerut,70,Evening,Low,Clear,9.99808181,0.732784943,Medium,9.808610946
Noida,Delhi,20,Night,High,Storm,4.584968703,0.487037855,Low,1.096082449
Delhi,Mathura,20,Afternoon,Medium,Storm,1.510937256,0.942092276,Medium,6.941019639
Faridabad,Ghaziabad,22,Night,Low,Clear,1.028164176,0.53027463,Low,6.874295861
Sonipat,Meerut,70,Morning,High,Storm,8.868427776,0.999582263,High,2.360093151
Noida,Delhi,20,Morning,High,Rain,4.888240812,0.54186602,Low,9.998736012
Faridabad,Meerut,28,Night,Medium,Storm,0.086825846,0.569091254,Low,4.097414975
Ghaziabad,Noida,18,Evening,Medium,Rain,9.645923998,0.075433935,Medium,1.346693264
Meerut,Mathura,70,Night,Low,Clear,9.994850726,0.572887169,Medium,3.836198452
Meerut,Gurugram,32,Evening,Low,Clear,8.808027387,0.052740493,Low,1.337930861
